,game_date,player_name,pitcher
682,2015,"Samardzija, Jeff",502188
683,2014,"Scherzer, Max",453286
684,2016,"Guerra, Junior",448855
685,2015,"Jiménez, Ubaldo",434622
686,2016,"Fister, Doug",450729
687,2016,"Odorizzi, Jake",543606
688,2015,"Karns, Nate",501992
689,2020,"Wheeler, Zack",554430
690,2015,"Strasburg, Stephen",544931
691,2015,"De La Rosa, Rubby",523989
692,2016,"Bauer, Trevor",545333
693,2017,"Darvish, Yu",506433
694,2014,"Wheeler, Zack",554430
695,2016,"Archer, Chris",502042
696,2018,"Scherzer, Max",453286
697,2018,"Mahle, Tyler",641816
698,2019,"Flaherty, Jack",656427
699,2014,"Norris, Bud",502032
700,2015,"Odorizzi, Jake",543606
701,2017,"Bauer, Trevor",545333
702,2014,"Scherzer, Max",453286
703,2015,"Arrieta, Jake",453562
704,2014,"Tillman, Chris",501957
705,2016,"Scherzer, Max",453286
706,2017,"Cole, Gerrit",543037
707,2015,"Sánchez, Aníbal",434671
708,2014,"Lincecum, Tim",453311
709,2015,"Fiers, Mike",571666
710,2019,"Giolito, Lucas",608337
711,2016,"Verlander, Justin",434378
712,2015,"Iglesias, Raisel",628452
713,2014,"Beckett, Josh",277417
714,2015,"Carrasco, Carlos",471911
715,2016,"Gausman, Kevin",592332
716,2015,"Marquis, Jason",150302
717,2014,"Peavy, Jake",408241
718,2017,"Carrasco, Carlos",471911
719,2016,"Harrell, Lucas",449173
720,2019,"Clevinger, Mike",605182
721,2015,"Gray, Sonny",543243
722,2014,"Samardzija, Jeff",502188
723,2014,"Richards, Garrett",572070
724,2016,"Kluber, Corey",446372
725,2016,"Strasburg, Stephen",544931
726,2016,"Kennedy, Ian",453178
727,2018,"Márquez, Germán",608566
728,2014,"Verlander, Justin",434378
729,2014,"Lincecum, Tim",453311
730,2020,"Castillo, Luis",622491
731,2014,"Tanaka, Masahiro",547888
732,2017,"Castillo, Luis",622491
733,2016,"González, Miguel",456068
734,2014,"Gray, Sonny",543243
735,2016,"Greinke, Zack",425844
736,2019,"Strasburg, Stephen",544931
737,2014,"Eovaldi, Nathan",543135
738,2015,"Gausman, Kevin",592332
739,2015,"Bauer, Trevor",545333
740,2015,"Miller, Shelby",571946
741,2017,"Fister, Doug",450729
742,2019,"Wacha, Michael",608379
743,2014,"Masterson, Justin",475416
744,2018,"deGrom, Jacob",594798
745,2018,"Lynn, Lance",458681
746,2016,"Walker, Taijuan",592836
